,text,cleanTweet,emotion,Dominant_Topic,Perc_Contribution,Topic_Keywords
10,b'DANUREJAN _ Patroli sambang dan dialogis di tempat Obyek vital berikan pesan Kamtibmas serta himbauan protokol kesehatan. https://t.co/yYhGQ0oKKz',danurejan patroli sambang dialogis tempat obyek vital ikan pesan kamtibmas himbauan protokol sehat,2,9,0.8714,"sehat, jaga, hai, bpjs, for, salam, kantor, michelle, fantasticof48, arigato"
11,"b'@luckyypersonaa semoga kaka sellau diberikan kesehatan, kelamcaran dan kemudahan dalam sefiap hal. makasih banyak udah adain giveawaynya'",moga kaka sellau beri sehat kelamcaran mudah sefiap makasih banyak udah adain giveawaynya,2,3,0.9182,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
12,"b'So my ""Work Life Balance"" adalah cara gw spy tetep bisa jaga kesehatan fisik maupun psikis. Krn klo udah sakit, org ga akan peduli..kita akan mudah diganti..dan itu yg gw alamin. Saat kondisi sakit, org ga support, malah dibilang sok sibuk dll pdhl lagi berobat'",my work life balance cara gw spy tetep jaga sehat fisik maupun psikis klo udah sakit org ga mudah gw alamin kondisi sakit org ga support malah bilang sok sibuk pdhl obat,2,0,0.971,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
13,b'Akhirnya ada anak kesehatan. [] https://t.co/Jv36xlJ8Yw',akhir anak sehat,1,4,0.7749,"sehat, lengkap, alat, grosir, jaga, mental, sama, tetap, lo, penting"
14,"b'uhhuy Alhamdulillah ,, prize udah diterima ,, terimakasih kak @ocicty \xf0\x9f\xa4\x97 semoga lekas sembuh dan jaga kesehatan selalu yya ,, terimakasih juga kak @ocictyy yg gercep kirim prize.nya \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97God Bless You all\xf0\x9f\xa4\x97\xf0\x9f\x98\x87\n#Iwonalice https://t.co/WJGC4H4vod'",uhhuy alhamdulillah prize udah terima terimakasih kak moga lekas sembuh jaga sehat selalu yya terimakasih kak gercep kirim bless you,1,1,0.7126,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
15,b'@LaLaChuu jaga kesehatan kakk lagi musim masuk angin nichh',jaga sehat kakk musim masuk angin nichh,2,0,0.5933,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
16,b'Jual Alat Kesehatan  Paseh Kidul #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat paseh kidul,2,5,0.85,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
17,"b'Selamat pagi kamu.. semangat ya!!\nMeski sering lembur, jangan lupa jaga kesehatan..'",selamat pagi kamu semangat sering lembur jangan lupa jaga sehat,2,1,0.91,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
18,b'RT @belindch: Ini mustinya meliputi penanganan terhadap kasus yang diakibatkan pemasangan piranti kesehatan oleh nonnakes yg berkompeten. T\xe2\x80\xa6',mustinya liput tangan kasus akibat pasang piranti sehat nonnakes kompeten,1,8,0.9182,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
19,b'@arlecchiell jaga kesehatan nara T____T',jaga sehat nara,1,8,0.7749,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
20,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cisitu#GrosirAlatKesehatanTerlengkapCisitu https://t.co/N81kJFlRnZ'",grosir alat sehat lengkap,0,4,0.82,"sehat, lengkap, alat, grosir, jaga, mental, sama, tetap, lo, penting"
21,b'@detikcom Saya sudah bantu Mas Indra Bekti melalui BPJS Kesehatan',bantu mas indra bekti lalu bpjs sehat,2,0,0.8875,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
22,"b'@LMH1640 @NarasiNewsroom Kelakuan homoseksual lbh2, bikin repot tenaga kesehatan. \xf0\x9f\x98\x83'",laku homoseksual lbh2 bikin repot tenaga sehat,2,9,0.82,"sehat, jaga, hai, bpjs, for, salam, kantor, michelle, fantasticof48, arigato"
23,"b'Yaallah 2023 tolong dibanyakin Rizqi aku dan keluarga, semoga dikasih kesehatan, iman makin kuat'",yaallah dibanyakin rizqi aku keluarga moga kasih sehat iman makin kuat,2,3,0.6446,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
24,"b'@moonahoshinova Selamat pagi Moona, semoga lekas sembuh, jaga kesehatan selalu'",selamat pagi moona moga lekas sembuh jaga sehat selalu,1,3,0.9,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
25,b'@ANZIMATTA @tweetkrishna_ Kok lebih sayang aset daripada kesehatan suaminya....',kok lebih sayang aset sehat suami,2,6,0.8714,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
26,"b'Selamat pagi,,semangat kegiatannya hari ini,,jangan lupa sarapan yaa,,jaga kesehatan selalu \xf0\x9f\xa5\xb0 @N_ShaniJKT48 @S_GraciaJKT48 @Y_ChikaJKT48 @A_ChristyJKT48 @A_ZeeJKT48'",selamat giat hari lupa sarap sehat selalu,1,1,0.8875,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
27,b'RT @stayspedia_id: changbin bilang dia membaik dan menyuruh kita untuk menjaga kesehatan \xf0\x9f\x98\xad\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb \n\n@Stray_Kids #StrayKids\n#\xec\x8a\xa4\xed\x8a\xb8\xeb\xa0\x88\xec\x9d\xb4\xed\x82\xa4\xec\xa6\x88\xc2\xa0\xf0\x9f\xa7\x80 \xc2\xa9 spearhyun\xe2\x80\xa6',changbin bilang baik suruh jaga sehat,2,0,0.4815,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
28,"b'RT @BincangSyariah: di tahun yang baru ini, mari mulai lebih peduli lagi dengan kesehatan mental.\n\nyang sedang mengalami, semoga dapat pert\xe2\x80\xa6'",tahun baru mulai lebih peduli sehat sedang alami moga,1,6,0.91,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
29,"b'RT @hyemishil: Salam subuh, hyuung.\n\nMaaf yaaa aku belum bisa terlalu aktif di TL. Semoga minggu depan udah bener-bener bisa full comeback\xe2\x80\xa6'",salam subuh yaa aku terlalu aktif tl moga minggu depan udah full,1,1,0.9308,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
30,b'Herbal kesehatan bersertipikat halal dijamin 29e91b7c',herbal sehat bersertipikat halal jamin,2,8,0.8199,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
31,b'Ini mustinya meliputi penanganan terhadap kasus yang diakibatkan pemasangan piranti kesehatan oleh nonnakes yg berkompeten. Termasuk penanganan pada korban tukang gigi (?).\n\n@rifqiealharis @kortugi_ngetwit https://t.co/eI1FFUqwAS',mustinya liput tangan kasus akibat pasang piranti sehat nonnakes kompeten masuk tangan korban tukang gigi,1,8,0.9437,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
32,b'@luckyypersonaa Semoga KK selalu diberikan kesehatan dilancarkan rezekinya dimudahi urusannya aamiin',moga kk selalu beri sehat lancar rezeki mudah urus aamiin,1,3,0.9182,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
33,b'selalu jaga kesehatan ya cikez kezia_chibi. Jgn lupa kibarin senyumnya. Tetap semangat buat hari mu. Have a nice day :)',selalu jaga sehat cikez jgn lupa kibarin senyum tetap semangat buat hari mu have a nice day,2,1,0.4845,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
34,"b'@GeoPolitik17 Salam Sahabat. Jika peserta membutuhkan pelayanan kesehatan diluar wilayah faskes 1 peserta terdaftar, peserta dapat menggunakan faskes kunjungan dengan maksimal 3x kunjungan . Apabila kondisi darurat bisa langsung ke IGD RS terdekat. Terimakasih. : ) -bowo'",salam sahabat serta butuh layan sehat luar wilayah faskes serta daftar serta guna faskes kunjung maksimal kunjung apabila kondisi darurat langsung igd rs dekat terimakasih,2,2,0.9654,"sehat, jadi, diri, kali, kasus, semua, aja, bakar, sedang, memang"
35,"b'RT @sbmptnfess: guys kalau tes kesehatan pkn stan, bb nya harus ideal ya? kalau underweight gimana? apa kemungkinan nggak lolos? \xf0\x9f\x8e\x93'",guys kalau tes sehat pkn stan bb nya ideal kalau underweight gimana apa mungkin lolos,2,6,0.9437,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
36,b'Kesehatan ortu https://t.co/SOuTjSLRGZ',sehat ortu,1,8,0.6999,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
37,"b'Ready Stok Produk Perawatan dan Kesehatan Tubuh yang *BPOM, HALAL, dan tidak ada EFEK SAMPING NYA* \xf0\x9f\x98\x8a\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9#ProdukTiens https://t.co/CNUA6DxeNb'",ready stok produk awat sehat tubuh halal efek samping,2,6,0.9,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
38,b'Jual Alat Kesehatan  Paseh Kaler #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat paseh kaler,2,5,0.85,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
39,"b'Ini sebenernya cilaka sih. Banyak pasien yg tidak mampu, tapi memiliki susunan gigi yg berantakan sampai mengganggu kesehatan, mengakibatkan tumpukan makanan shg terjadi lubang gigi dan atau karang gigi.\n\nSayangnya masih banyak yg anggap orto/behel hanya estetik semata. https://t.co/agkqbVhE3B'",sebenernya cilaka sih banyak pasien mampu milik susun gigi beranta ganggu sehat akibat tumpu makan shg jadi lubang gigi karang banyak anggap estetik semata,2,6,0.9526,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
40,"b'RT @AlbertSolo2: Pemerintah tegaskan bahwa aturan darurat kesehatan masih berlaku,seperti kewajiban pemakaian masker selama beraktivitas,va\xe2\x80\xa6'",perintah tegas atur darurat sehat wajib pakai masker lama,2,7,0.8004,"sehat, menteri, januari, batas, presiden, rapat, jadi, gunadi, budi, jakarta"
41,"b'@najiann_ OUHHH pantes aja, jga kesehatan yaa\xf0\x9f\x98\xbd'",ouhh pantes aja jga sehat,2,1,0.7749,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
42,"b'Pemerintah tegaskan bahwa aturan darurat kesehatan masih berlaku,seperti kewajiban pemakaian masker selama beraktivitas,vaksinasi booster bagi yang belum dan kewajiban menunjukan aplikasi peduli lindungi untuk para pelaku perjalanan internasional melalui pesawat komersial.'",perintah tegas atur darurat sehat wajib pakai masker lama booster wajib tunjuk aplikasi peduli lindung laku jalan internasional lalu pesawat komersial,2,8,0.7298,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
43,"b'baru nonton, aamiin harapan aku tahun ini jg ga muluk muluk yg penting dikasih kesehatan selalu dan semoga km sehat selalu jg tae\xf0\x9f\xa5\xb0\xe2\x98\xba https://t.co/ayd0Gwxxlb'",baru nonton aamiin harap aku tahun jg ga muluk muluk penting kasih sehat selalu moga km sehat selalu jg,2,3,0.95,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
44,"b'RT @blogdokter: 10. Gangguan kesehatan akibat sengaja menyakiti diri sendiri, atau akibat melakukan hobi yang membahayakan diri sendiri. Ya\xe2\x80\xa6'",ganggu sehat akibat sengaja sakit diri sendiri akibat laku hobi bahaya diri sendiri,2,8,0.9308,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
45,"b'Karena kesehatan ji kurang baik, jadi ji memutuskan untuk melakukan rest terlebih dahulu hingga kesehatan ji membaik. Jika ada yang ingin dibicarakan bisa dm lewat kkt saya (id : parkjisungie) see youu semua naa &gt;~&lt;'",sehat ji kurang baik jadi ji putus laku rest lebih hingga sehat ji baik bicara dm lewat kkt see youu semua naa,2,9,0.95,"sehat, jaga, hai, bpjs, for, salam, kantor, michelle, fantasticof48, arigato"
46,"b'Keterampilan Cardiopulmonary Resuscitation (CPR) atau membantu pernapasan buatan sebaiknya diketahui oleh banyak orang, bukan hanya petugas kesehatan. CPR sangat membantu jika orang terdekat kita mengalami serangan jantung, tak sadarkan diri atau tenggelam di kolam.'",terampil cardiopulmonary resuscitation bantu napas buat baik tahu banyak orang bukan tugas sehat cpr sangat bantu orang dekat alami serang jantung sadar diri tenggelam kolam,2,8,0.6727,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
47,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cimanggung#GrosirAlatKesehatanTerlengkapCimanggung https://t.co/IO4pPzZZ9d'",grosir alat sehat lengkap,0,4,0.82,"sehat, lengkap, alat, grosir, jaga, mental, sama, tetap, lo, penting"
48,b'Kata Indra Bekti soal BPJS Kesehatan...... https://t.co/fgxz4FLAWp',kata indra bekti soal bpjs sehat,2,0,0.8714,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
49,b'RT @t3luuur: Masker itu simbol perbudakan. Bukan soal kesehatan. Yes? https://t.co/JazrzPsy8N',masker simbol budak bukan soal sehat yes,2,2,0.8875,"sehat, jadi, diri, kali, kasus, semua, aja, bakar, sedang, memang"
50,b'Kandungan Polyphenol dalam Teh yang membantu menjaga Kesehatan Jantung dan Otak Kita',kandung polyphenol teh bantu jaga sehat jantung otak,2,8,0.5755,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
51,"b'RT @detikcom: Sepanjang empat hari terakhir, kesehatan Indra Bekti naik-turun. Paling tidak Bekti bakal dirawat intensif selama beberapa mi\xe2\x80\xa6'",panjang empat hari akhir sehat indra bekti paling bekti bakal rawat intensif lama beberapa,2,0,0.9307,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
52,"b'Ahokers Cebongers and BuzzerRp jaga kesehatan kalian, hati hati sehat itu mahal, Kalian harus siap mental ketika nitizen otak, mata dan jemarinya bersatu, rasanya sampe ke tulang tulang ngilu, kadang pedih, di iris tipis tipis, kadang di buat rendang...\xf0\x9f\xa4\xad'",ahokers cebongers and buzzerrp jaga sehat kalian hati hati sehat mahal kalian siap mental nitizen otak mata jemari satu rasa sampe tulang tulang ngilu kadang pedih iris tipis tipis kadang buat,2,1,0.9591,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
53,"b""mau sampe kapan merusak kesehatan hanya demi sebuah ketenangan :')""",sampe kapan rusak sehat buah tenang,1,1,0.8714,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
54,b'Olahraga di Pagi Hari Baik Sekali untuk Menambah #TinggiBadan karena adanya Sinar Matahari yg Baik untuk Kesehatan Tulang #kesehatan',olahraga pagi hari baik sekali tambah ada sinar matahari baik sehat tulang,1,6,0.925,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
55,b'C_MichelleJKT48 Hai Michelle Dapat Salam For FantasticOF48 Jaga Kesehatan ya :D ^^ Arigato #30',hai michelle salam for fantasticof48 jaga sehat arigato,2,9,0.9,"sehat, jaga, hai, bpjs, for, salam, kantor, michelle, fantasticof48, arigato"
56,"b'RT @luckyisseven07: Hai Renjun sayang, apa kabar hari ini? Semoga baik ya \xf0\x9f\xa5\xb0 Tahun baru lembaran baru semoga tahun ini menjadi Tahunnya Huan\xe2\x80\xa6'",hai renjun sayang apa kabar hari moga baik tahun baru lembar baru moga tahun jadi tahun,2,6,0.8159,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
57,"b'guys kalau tes kesehatan pkn stan, bb nya harus ideal ya? kalau underweight gimana? apa kemungkinan nggak lolos? \xf0\x9f\x8e\x93'",guys kalau tes sehat pkn stan bb nya ideal kalau underweight gimana apa mungkin lolos,2,6,0.9437,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
58,"b'@chaaloml @sweenpi semoga sponsor dan kedua orang tua nya selalu diberikan kesehatan, dimudahkan rezekinya, dan bahagia selalu. aamiin'",moga sponsor dua orang tua nya selalu beri sehat mudah rezeki bahagia selalu aamiin,1,3,0.94,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
59,"b'Jaga kesehatan kamu slalu yaah Teens_Livia perbnyak minum air putih &amp; makan yg teratur , jangan lupa jg slalu berdoa O:)'",jaga sehat kamu slalu yaah perbnyak minum air putih makan atur jangan lupa jg slalu doa,1,1,0.9471,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
60,"b'Lha ini aja cm buat periksa THT aja... Pengen rutin aja gt cek2 kesehatan gigi, tht, dll...\nGmn dg yg sdh sakit ato pemeriksaan lain nya...\nKek nya harus mulai buka mata sama asuransi kesehatan yg swasta...'",lha aja cm buat periksa tht aja ken rutin aja gt cek2 sehat gigi tht sdh sakit ato periksa nya mulai buka mata sama asuransi sehat swasta,2,5,0.9654,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
61,"b'Tiba-tiba sadar asuransi.....\nBeberapa waktu lalu ke rumah sakit cuma utk cek2 kesehatan rutin, trus ada yg harga nya mahal n gak d tanggung bpjs... Trus admin nya nanya ""apa ada asuransi lain mba? Info dlu, ini biaya konsul 500an.. klo ada tindakan bisa 700-1000 blm obat""'",sadar waktu lalu rumah sakit cuma utk cek2 sehat rutin trus harga nya mahal n d tanggung bpjs trus admin nya nanya apa asuransi mba info dlu biaya konsul klo tindak blm obat,2,5,0.9735,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
62,b'Jual Alat Kesehatan  Padanaan #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat padanaan,0,5,0.775,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
63,"b'@JagalCebong Luhut, menteri segala kesehatan...'",luhut menteri segala sehat,2,3,0.7749,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
64,"b'Menurut WHO Manusia di Dunia dibagi Menjadi Tiga Golongan (5% Sehat, 20% Sakit dan 75% Sehat Bermasalah) #kesehatan #fakta'",who manusia dunia bagi jadi tiga golong sehat sakit sehat,2,6,0.91,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
65,"b'Allahumma Sholli ala Sayyidina Muhammad\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\x98\x87\n\nBismillah, semoga hari ini kita semua selalu diberikan kelancaran dalam mencari rezeki, diberikan kesehatan dan selalu dalam Lindungan Allah SWT\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\x98\x87'",allahumma sholli ala sayyidina moga hari semua selalu beri lancar cari rezeki beri sehat selalu lindung allah,2,3,0.95,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
66,"b'RT @gusbaster87: met pagiii, met tahun baru 2023. semoga tetap diberi kesehatan dan lancar rezeki \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f https://t.co/coe9mXSfGZ'",met pagi met tahun baru moga tetap beri sehat lancar rezeki,2,3,0.925,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
67,"b'Konten sampah.. BAGUS, LANJUTKAN, JAGA KESEHATAN.. https://t.co/YgAoAWZU6A'",konten sampah bagus lanjut jaga sehat,2,0,0.5942,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
68,"b'Jual Matras Kesehatan di Papua, WA: 082134685661 (Anwar) #MatrasKesehatanPapua https://t.co/Cap2Mm6Pj1'",jual matras sehat papua,2,5,0.82,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
69,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cimalaka#GrosirAlatKesehatanTerlengkapCimalaka https://t.co/756pz3GBXQ'",grosir alat sehat lengkap,0,4,0.82,"sehat, lengkap, alat, grosir, jaga, mental, sama, tetap, lo, penting"
70,"b'@hengioxoseok @fornayuta1O26 bismillah done all rules. semoga rezeki ku saldonya tuk kontrol ke dokter aamiin allahuma aamiin \xf0\x9f\x92\xab\n\nthanks GAnya\xf0\x9f\x8c\xb7it means a lot to me\nsemoga rezekinya mengalir, diberi kesehatan keselamatan kebahagiaan, dimudahkan urusannya dan semoga danusan temen kakak segera s0ld aamiin \xe2\x9d\xa4\xef\xb8\x8f https://t.co/qMtHBakY7i'",bismillah done all rules moga rezeki ku saldo tuk kontrol dokter aamiin allahuma aamiin means a lot to rezeki alir beri sehat selamat bahagia mudah urus moga danusan temen kakak segera s0ld aamiin,2,3,0.971,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
71,b'@Panillalalaaaa Iyaa sempet baca2 di artikel kesehatan juga harus di operasi gitu :( sipp nanti aku ke dokter hari ini..\nMakasih ya fanii^^',iyaa sempet baca2 artikel sehat operasi gitu sipp aku dokter hari,2,1,0.6691,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
72,"b'@SUKISUKICV @fegihrn_ @AREAJULID Kiw, aborsi emang ilegal ya. Tapi pengecualian buat dua hal, yaitu korban pemerkosaan dan kalo kehamilan itu berdampak buat kesehatan. Nah dua keadaan ini boleh ya ngelakuin aborsi, apalagi keadaan adek itu udahlah di bawah umur yg pasti resiko AKI, dia juga korban pemerkosaan.'",kiw aborsi emang ilegal kecuali buat korban perkosa kalo hamil dampak buat sehat nah ada ngelakuin aborsi ada adek udahlah bawah umur resiko aki korban perkosa,2,7,0.9625,"sehat, menteri, januari, batas, presiden, rapat, jadi, gunadi, budi, jakarta"
73,"b'Kabar Gembira dari BPJS Kesehatan untuk Warga Papua, Luar Biasa #Kabargembira https://t.co/kcwhE4wHMk'",kabar gembira bpjs sehat warga papua luar biasa,2,0,0.7234,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
74,"b'Hai Renjun sayang, apa kabar hari ini? Semoga baik ya \xf0\x9f\xa5\xb0 Tahun baru lembaran baru semoga tahun ini menjadi Tahunnya Huang Renjun amin. Terima kasih juga atas kerja kerasnya selama ini. Tetap jaga kesehatan jangan sampai sakit.\nHUANG RENJUN THANK YOU\n@NCTsmtown_DREAM https://t.co/H4VaCg6kNk'",hai renjun sayang apa kabar hari moga baik tahun baru lembar baru moga tahun jadi tahun huang renjun amin terima kasih atas kerja keras lama tetap jaga sehat jangan renjun thank,2,6,0.6564,"sehat, tahun, baik, lebih, baru, aku, buat, minum, mental, semua"
75,"b'Udah paling bener habis nikah itu misah sm ortu sebaik apapun ortu atau mertua. Mau itu ngekos, ngontrak, atau alhamdulillahnya punya rumah sendiri, walaupun rempong kalo ngurus anak, tapi setidaknya kesehatan mental bisa lebih terjaga \xf0\x9f\x98\xad\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'",udah paling bener habis nikah misah sm ortu baik apa ortu mertua mau ngekos ngontrak alhamdulillah punya rumah sendiri walaupun rempong kalo ngurus anak sehat mental lebih jaga,2,8,0.6705,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
76,b'Jual Alat Kesehatan  Legok Kidul #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat legok kidul,2,5,0.85,"sehat, alat, jual, cuma, buat, asuransi, aja, apa, good, baik"
