,datetime,text,cleanTweet,emotion
11,2023-01-02 23:57:27,"b'@luckyypersonaa semoga kaka sellau diberikan kesehatan, kelamcaran dan kemudahan dalam sefiap hal. makasih banyak udah adain giveawaynya'",moga kaka sellau beri sehat kelamcaran mudah sefiap makasih banyak udah adain giveawaynya,2
12,2023-01-02 23:57:07,"b'So my ""Work Life Balance"" adalah cara gw spy tetep bisa jaga kesehatan fisik maupun psikis. Krn klo udah sakit, org ga akan peduli..kita akan mudah diganti..dan itu yg gw alamin. Saat kondisi sakit, org ga support, malah dibilang sok sibuk dll pdhl lagi berobat'",my work life balance cara gw spy tetep jaga sehat fisik maupun psikis klo udah sakit org ga mudah gw alamin kondisi sakit org ga support malah bilang sok sibuk pdhl obat,2
13,2023-01-02 23:56:00,b'Akhirnya ada anak kesehatan. [] https://t.co/Jv36xlJ8Yw',akhir anak sehat,1
14,2023-01-02 23:55:52,"b'uhhuy Alhamdulillah ,, prize udah diterima ,, terimakasih kak @ocicty \xf0\x9f\xa4\x97 semoga lekas sembuh dan jaga kesehatan selalu yya ,, terimakasih juga kak @ocictyy yg gercep kirim prize.nya \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97God Bless You all\xf0\x9f\xa4\x97\xf0\x9f\x98\x87\n#Iwonalice https://t.co/WJGC4H4vod'",uhhuy alhamdulillah prize udah terima terimakasih kak moga lekas sembuh jaga sehat selalu yya terimakasih kak gercep kirim bless you,1
15,2023-01-02 23:55:49,b'@LaLaChuu jaga kesehatan kakk lagi musim masuk angin nichh',jaga sehat kakk musim masuk angin nichh,2
16,2023-01-02 23:55:48,b'Jual Alat Kesehatan  Paseh Kidul #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat paseh kidul,2
17,2023-01-02 23:55:14,"b'Selamat pagi kamu.. semangat ya!!\nMeski sering lembur, jangan lupa jaga kesehatan..'",selamat pagi kamu semangat sering lembur jangan lupa jaga sehat,2
18,2023-01-02 23:55:10,b'RT @belindch: Ini mustinya meliputi penanganan terhadap kasus yang diakibatkan pemasangan piranti kesehatan oleh nonnakes yg berkompeten. T\xe2\x80\xa6',mustinya liput tangan kasus akibat pasang piranti sehat nonnakes kompeten,1
19,2023-01-02 23:55:07,b'@arlecchiell jaga kesehatan nara T____T',jaga sehat nara,1
20,2023-01-02 23:54:41,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cisitu#GrosirAlatKesehatanTerlengkapCisitu https://t.co/N81kJFlRnZ'",grosir alat sehat lengkap,0
21,2023-01-02 23:54:40,b'@detikcom Saya sudah bantu Mas Indra Bekti melalui BPJS Kesehatan',bantu mas indra bekti lalu bpjs sehat,2
22,2023-01-02 23:54:34,"b'@LMH1640 @NarasiNewsroom Kelakuan homoseksual lbh2, bikin repot tenaga kesehatan. \xf0\x9f\x98\x83'",laku homoseksual lbh2 bikin repot tenaga sehat,2
23,2023-01-02 23:54:07,"b'Yaallah 2023 tolong dibanyakin Rizqi aku dan keluarga, semoga dikasih kesehatan, iman makin kuat'",yaallah dibanyakin rizqi aku keluarga moga kasih sehat iman makin kuat,2
24,2023-01-02 23:54:05,"b'@moonahoshinova Selamat pagi Moona, semoga lekas sembuh, jaga kesehatan selalu'",selamat pagi moona moga lekas sembuh jaga sehat selalu,1
25,2023-01-02 23:53:15,b'@ANZIMATTA @tweetkrishna_ Kok lebih sayang aset daripada kesehatan suaminya....',kok lebih sayang aset sehat suami,2
26,2023-01-02 23:52:30,"b'Selamat pagi,,semangat kegiatannya hari ini,,jangan lupa sarapan yaa,,jaga kesehatan selalu \xf0\x9f\xa5\xb0 @N_ShaniJKT48 @S_GraciaJKT48 @Y_ChikaJKT48 @A_ChristyJKT48 @A_ZeeJKT48'",selamat giat hari lupa sarap sehat selalu,1
27,2023-01-02 23:52:24,b'RT @stayspedia_id: changbin bilang dia membaik dan menyuruh kita untuk menjaga kesehatan \xf0\x9f\x98\xad\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb \n\n@Stray_Kids #StrayKids\n#\xec\x8a\xa4\xed\x8a\xb8\xeb\xa0\x88\xec\x9d\xb4\xed\x82\xa4\xec\xa6\x88\xc2\xa0\xf0\x9f\xa7\x80 \xc2\xa9 spearhyun\xe2\x80\xa6',changbin bilang baik suruh jaga sehat,2
28,2023-01-02 23:52:15,"b'RT @BincangSyariah: di tahun yang baru ini, mari mulai lebih peduli lagi dengan kesehatan mental.\n\nyang sedang mengalami, semoga dapat pert\xe2\x80\xa6'",tahun baru mulai lebih peduli sehat sedang alami moga,1
29,2023-01-02 23:52:11,"b'RT @hyemishil: Salam subuh, hyuung.\n\nMaaf yaaa aku belum bisa terlalu aktif di TL. Semoga minggu depan udah bener-bener bisa full comeback\xe2\x80\xa6'",salam subuh yaa aku terlalu aktif tl moga minggu depan udah full,1
30,2023-01-02 23:52:11,b'Herbal kesehatan bersertipikat halal dijamin 29e91b7c',herbal sehat bersertipikat halal jamin,2
31,2023-01-02 23:51:34,b'Ini mustinya meliputi penanganan terhadap kasus yang diakibatkan pemasangan piranti kesehatan oleh nonnakes yg berkompeten. Termasuk penanganan pada korban tukang gigi (?).\n\n@rifqiealharis @kortugi_ngetwit https://t.co/eI1FFUqwAS',mustinya liput tangan kasus akibat pasang piranti sehat nonnakes kompeten masuk tangan korban tukang gigi,1
32,2023-01-02 23:51:30,b'@luckyypersonaa Semoga KK selalu diberikan kesehatan dilancarkan rezekinya dimudahi urusannya aamiin',moga kk selalu beri sehat lancar rezeki mudah urus aamiin,1
33,2023-01-02 23:51:21,b'selalu jaga kesehatan ya cikez kezia_chibi. Jgn lupa kibarin senyumnya. Tetap semangat buat hari mu. Have a nice day :)',selalu jaga sehat cikez jgn lupa kibarin senyum tetap semangat buat hari mu have a nice day,2
34,2023-01-02 23:50:50,"b'@GeoPolitik17 Salam Sahabat. Jika peserta membutuhkan pelayanan kesehatan diluar wilayah faskes 1 peserta terdaftar, peserta dapat menggunakan faskes kunjungan dengan maksimal 3x kunjungan . Apabila kondisi darurat bisa langsung ke IGD RS terdekat. Terimakasih. : ) -bowo'",salam sahabat serta butuh layan sehat luar wilayah faskes serta daftar serta guna faskes kunjung maksimal kunjung apabila kondisi darurat langsung igd rs dekat terimakasih,2
35,2023-01-02 23:50:22,"b'RT @sbmptnfess: guys kalau tes kesehatan pkn stan, bb nya harus ideal ya? kalau underweight gimana? apa kemungkinan nggak lolos? \xf0\x9f\x8e\x93'",guys kalau tes sehat pkn stan bb nya ideal kalau underweight gimana apa mungkin lolos,2
36,2023-01-02 23:50:16,b'Kesehatan ortu https://t.co/SOuTjSLRGZ',sehat ortu,1
37,2023-01-02 23:50:13,"b'Ready Stok Produk Perawatan dan Kesehatan Tubuh yang *BPOM, HALAL, dan tidak ada EFEK SAMPING NYA* \xf0\x9f\x98\x8a\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9#ProdukTiens https://t.co/CNUA6DxeNb'",ready stok produk awat sehat tubuh halal efek samping,2
38,2023-01-02 23:50:12,b'Jual Alat Kesehatan  Paseh Kaler #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat paseh kaler,2
39,2023-01-02 23:49:55,"b'Ini sebenernya cilaka sih. Banyak pasien yg tidak mampu, tapi memiliki susunan gigi yg berantakan sampai mengganggu kesehatan, mengakibatkan tumpukan makanan shg terjadi lubang gigi dan atau karang gigi.\n\nSayangnya masih banyak yg anggap orto/behel hanya estetik semata. https://t.co/agkqbVhE3B'",sebenernya cilaka sih banyak pasien mampu milik susun gigi beranta ganggu sehat akibat tumpu makan shg jadi lubang gigi karang banyak anggap estetik semata,2
40,2023-01-02 23:49:37,"b'RT @AlbertSolo2: Pemerintah tegaskan bahwa aturan darurat kesehatan masih berlaku,seperti kewajiban pemakaian masker selama beraktivitas,va\xe2\x80\xa6'",perintah tegas atur darurat sehat wajib pakai masker lama,2
41,2023-01-02 23:49:35,"b'@najiann_ OUHHH pantes aja, jga kesehatan yaa\xf0\x9f\x98\xbd'",ouhh pantes aja jga sehat,2
42,2023-01-02 23:49:31,"b'Pemerintah tegaskan bahwa aturan darurat kesehatan masih berlaku,seperti kewajiban pemakaian masker selama beraktivitas,vaksinasi booster bagi yang belum dan kewajiban menunjukan aplikasi peduli lindungi untuk para pelaku perjalanan internasional melalui pesawat komersial.'",perintah tegas atur darurat sehat wajib pakai masker lama booster wajib tunjuk aplikasi peduli lindung laku jalan internasional lalu pesawat komersial,2
43,2023-01-02 23:48:58,"b'baru nonton, aamiin harapan aku tahun ini jg ga muluk muluk yg penting dikasih kesehatan selalu dan semoga km sehat selalu jg tae\xf0\x9f\xa5\xb0\xe2\x98\xba https://t.co/ayd0Gwxxlb'",baru nonton aamiin harap aku tahun jg ga muluk muluk penting kasih sehat selalu moga km sehat selalu jg,2
44,2023-01-02 23:48:55,"b'RT @blogdokter: 10. Gangguan kesehatan akibat sengaja menyakiti diri sendiri, atau akibat melakukan hobi yang membahayakan diri sendiri. Ya\xe2\x80\xa6'",ganggu sehat akibat sengaja sakit diri sendiri akibat laku hobi bahaya diri sendiri,2
45,2023-01-02 23:48:50,"b'Karena kesehatan ji kurang baik, jadi ji memutuskan untuk melakukan rest terlebih dahulu hingga kesehatan ji membaik. Jika ada yang ingin dibicarakan bisa dm lewat kkt saya (id : parkjisungie) see youu semua naa &gt;~&lt;'",sehat ji kurang baik jadi ji putus laku rest lebih hingga sehat ji baik bicara dm lewat kkt see youu semua naa,2
46,2023-01-02 23:48:49,"b'Keterampilan Cardiopulmonary Resuscitation (CPR) atau membantu pernapasan buatan sebaiknya diketahui oleh banyak orang, bukan hanya petugas kesehatan. CPR sangat membantu jika orang terdekat kita mengalami serangan jantung, tak sadarkan diri atau tenggelam di kolam.'",terampil cardiopulmonary resuscitation bantu napas buat baik tahu banyak orang bukan tugas sehat cpr sangat bantu orang dekat alami serang jantung sadar diri tenggelam kolam,2
47,2023-01-02 23:48:09,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cimanggung#GrosirAlatKesehatanTerlengkapCimanggung https://t.co/IO4pPzZZ9d'",grosir alat sehat lengkap,0
48,2023-01-02 23:48:04,b'Kata Indra Bekti soal BPJS Kesehatan...... https://t.co/fgxz4FLAWp',kata indra bekti soal bpjs sehat,2
49,2023-01-02 23:47:30,b'RT @t3luuur: Masker itu simbol perbudakan. Bukan soal kesehatan. Yes? https://t.co/JazrzPsy8N',masker simbol budak bukan soal sehat yes,2
50,2023-01-02 23:46:44,b'Kandungan Polyphenol dalam Teh yang membantu menjaga Kesehatan Jantung dan Otak Kita',kandung polyphenol teh bantu jaga sehat jantung otak,2
51,2023-01-02 23:46:41,"b'RT @detikcom: Sepanjang empat hari terakhir, kesehatan Indra Bekti naik-turun. Paling tidak Bekti bakal dirawat intensif selama beberapa mi\xe2\x80\xa6'",panjang empat hari akhir sehat indra bekti paling bekti bakal rawat intensif lama beberapa,2
52,2023-01-02 23:46:24,"b'Ahokers Cebongers and BuzzerRp jaga kesehatan kalian, hati hati sehat itu mahal, Kalian harus siap mental ketika nitizen otak, mata dan jemarinya bersatu, rasanya sampe ke tulang tulang ngilu, kadang pedih, di iris tipis tipis, kadang di buat rendang...\xf0\x9f\xa4\xad'",ahokers cebongers and buzzerrp jaga sehat kalian hati hati sehat mahal kalian siap mental nitizen otak mata jemari satu rasa sampe tulang tulang ngilu kadang pedih iris tipis tipis kadang buat,2
53,2023-01-02 23:46:14,"b""mau sampe kapan merusak kesehatan hanya demi sebuah ketenangan :')""",sampe kapan rusak sehat buah tenang,1
54,2023-01-02 23:45:30,b'Olahraga di Pagi Hari Baik Sekali untuk Menambah #TinggiBadan karena adanya Sinar Matahari yg Baik untuk Kesehatan Tulang #kesehatan',olahraga pagi hari baik sekali tambah ada sinar matahari baik sehat tulang,1
55,2023-01-02 23:45:29,b'C_MichelleJKT48 Hai Michelle Dapat Salam For FantasticOF48 Jaga Kesehatan ya :D ^^ Arigato #30',hai michelle salam for fantasticof48 jaga sehat arigato,2
56,2023-01-02 23:45:16,"b'RT @luckyisseven07: Hai Renjun sayang, apa kabar hari ini? Semoga baik ya \xf0\x9f\xa5\xb0 Tahun baru lembaran baru semoga tahun ini menjadi Tahunnya Huan\xe2\x80\xa6'",hai renjun sayang apa kabar hari moga baik tahun baru lembar baru moga tahun jadi tahun,2
57,2023-01-02 23:45:01,"b'guys kalau tes kesehatan pkn stan, bb nya harus ideal ya? kalau underweight gimana? apa kemungkinan nggak lolos? \xf0\x9f\x8e\x93'",guys kalau tes sehat pkn stan bb nya ideal kalau underweight gimana apa mungkin lolos,2
58,2023-01-02 23:45:01,"b'@chaaloml @sweenpi semoga sponsor dan kedua orang tua nya selalu diberikan kesehatan, dimudahkan rezekinya, dan bahagia selalu. aamiin'",moga sponsor dua orang tua nya selalu beri sehat mudah rezeki bahagia selalu aamiin,1
59,2023-01-02 23:44:52,"b'Jaga kesehatan kamu slalu yaah Teens_Livia perbnyak minum air putih &amp; makan yg teratur , jangan lupa jg slalu berdoa O:)'",jaga sehat kamu slalu yaah perbnyak minum air putih makan atur jangan lupa jg slalu doa,1
60,2023-01-02 23:44:49,"b'Lha ini aja cm buat periksa THT aja... Pengen rutin aja gt cek2 kesehatan gigi, tht, dll...\nGmn dg yg sdh sakit ato pemeriksaan lain nya...\nKek nya harus mulai buka mata sama asuransi kesehatan yg swasta...'",lha aja cm buat periksa tht aja ken rutin aja gt cek2 sehat gigi tht sdh sakit ato periksa nya mulai buka mata sama asuransi sehat swasta,2
61,2023-01-02 23:44:48,"b'Tiba-tiba sadar asuransi.....\nBeberapa waktu lalu ke rumah sakit cuma utk cek2 kesehatan rutin, trus ada yg harga nya mahal n gak d tanggung bpjs... Trus admin nya nanya ""apa ada asuransi lain mba? Info dlu, ini biaya konsul 500an.. klo ada tindakan bisa 700-1000 blm obat""'",sadar waktu lalu rumah sakit cuma utk cek2 sehat rutin trus harga nya mahal n d tanggung bpjs trus admin nya nanya apa asuransi mba info dlu biaya konsul klo tindak blm obat,2
62,2023-01-02 23:44:35,b'Jual Alat Kesehatan  Padanaan #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat padanaan,0
63,2023-01-02 23:44:32,"b'@JagalCebong Luhut, menteri segala kesehatan...'",luhut menteri segala sehat,2
64,2023-01-02 23:43:46,"b'Menurut WHO Manusia di Dunia dibagi Menjadi Tiga Golongan (5% Sehat, 20% Sakit dan 75% Sehat Bermasalah) #kesehatan #fakta'",who manusia dunia bagi jadi tiga golong sehat sakit sehat,2
65,2023-01-02 23:43:00,"b'Allahumma Sholli ala Sayyidina Muhammad\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\x98\x87\n\nBismillah, semoga hari ini kita semua selalu diberikan kelancaran dalam mencari rezeki, diberikan kesehatan dan selalu dalam Lindungan Allah SWT\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbb\xf0\x9f\x98\x87'",allahumma sholli ala sayyidina moga hari semua selalu beri lancar cari rezeki beri sehat selalu lindung allah,2
66,2023-01-02 23:41:43,"b'RT @gusbaster87: met pagiii, met tahun baru 2023. semoga tetap diberi kesehatan dan lancar rezeki \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f https://t.co/coe9mXSfGZ'",met pagi met tahun baru moga tetap beri sehat lancar rezeki,2
67,2023-01-02 23:41:30,"b'Konten sampah.. BAGUS, LANJUTKAN, JAGA KESEHATAN.. https://t.co/YgAoAWZU6A'",konten sampah bagus lanjut jaga sehat,2
68,2023-01-02 23:41:30,"b'Jual Matras Kesehatan di Papua, WA: 082134685661 (Anwar) #MatrasKesehatanPapua https://t.co/Cap2Mm6Pj1'",jual matras sehat papua,2
69,2023-01-02 23:41:29,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cimalaka#GrosirAlatKesehatanTerlengkapCimalaka https://t.co/756pz3GBXQ'",grosir alat sehat lengkap,0
70,2023-01-02 23:40:53,"b'@hengioxoseok @fornayuta1O26 bismillah done all rules. semoga rezeki ku saldonya tuk kontrol ke dokter aamiin allahuma aamiin \xf0\x9f\x92\xab\n\nthanks GAnya\xf0\x9f\x8c\xb7it means a lot to me\nsemoga rezekinya mengalir, diberi kesehatan keselamatan kebahagiaan, dimudahkan urusannya dan semoga danusan temen kakak segera s0ld aamiin \xe2\x9d\xa4\xef\xb8\x8f https://t.co/qMtHBakY7i'",bismillah done all rules moga rezeki ku saldo tuk kontrol dokter aamiin allahuma aamiin means a lot to rezeki alir beri sehat selamat bahagia mudah urus moga danusan temen kakak segera s0ld aamiin,2
71,2023-01-02 23:40:47,b'@Panillalalaaaa Iyaa sempet baca2 di artikel kesehatan juga harus di operasi gitu :( sipp nanti aku ke dokter hari ini..\nMakasih ya fanii^^',iyaa sempet baca2 artikel sehat operasi gitu sipp aku dokter hari,2
72,2023-01-02 23:40:39,"b'@SUKISUKICV @fegihrn_ @AREAJULID Kiw, aborsi emang ilegal ya. Tapi pengecualian buat dua hal, yaitu korban pemerkosaan dan kalo kehamilan itu berdampak buat kesehatan. Nah dua keadaan ini boleh ya ngelakuin aborsi, apalagi keadaan adek itu udahlah di bawah umur yg pasti resiko AKI, dia juga korban pemerkosaan.'",kiw aborsi emang ilegal kecuali buat korban perkosa kalo hamil dampak buat sehat nah ada ngelakuin aborsi ada adek udahlah bawah umur resiko aki korban perkosa,2
73,2023-01-02 23:40:05,"b'Kabar Gembira dari BPJS Kesehatan untuk Warga Papua, Luar Biasa #Kabargembira https://t.co/kcwhE4wHMk'",kabar gembira bpjs sehat warga papua luar biasa,2
74,2023-01-02 23:39:44,"b'Hai Renjun sayang, apa kabar hari ini? Semoga baik ya \xf0\x9f\xa5\xb0 Tahun baru lembaran baru semoga tahun ini menjadi Tahunnya Huang Renjun amin. Terima kasih juga atas kerja kerasnya selama ini. Tetap jaga kesehatan jangan sampai sakit.\nHUANG RENJUN THANK YOU\n@NCTsmtown_DREAM https://t.co/H4VaCg6kNk'",hai renjun sayang apa kabar hari moga baik tahun baru lembar baru moga tahun jadi tahun huang renjun amin terima kasih atas kerja keras lama tetap jaga sehat jangan renjun thank,2
75,2023-01-02 23:39:32,"b'Udah paling bener habis nikah itu misah sm ortu sebaik apapun ortu atau mertua. Mau itu ngekos, ngontrak, atau alhamdulillahnya punya rumah sendiri, walaupun rempong kalo ngurus anak, tapi setidaknya kesehatan mental bisa lebih terjaga \xf0\x9f\x98\xad\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'",udah paling bener habis nikah misah sm ortu baik apa ortu mertua mau ngekos ngontrak alhamdulillah punya rumah sendiri walaupun rempong kalo ngurus anak sehat mental lebih jaga,2
76,2023-01-02 23:38:58,b'Jual Alat Kesehatan  Legok Kidul #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat legok kidul,2
77,2023-01-02 23:38:57,"b'@Ammaturrahman1 @addxtiv @AREAJULID Tadi aku baca komentar di atas, keluarga si Bunga ini agak kurang educated, jadi mungkin ga paham Mbak. Ini juga katanya setelah ada pendampingan dari majikan tempat ortunya Bunga kerja, baru kesehatan Bunga sekarang diperhatiin.'",tadi aku baca komentar atas keluarga si bunga kurang educated jadi mungkin ga paham mbak kata damping majikan tempat ortunya bunga kerja baru sehat bunga sekarang diperhatiin,2
78,2023-01-02 23:37:35,b'RT @hariankompas: Lebih dari selusin negara memberlakukan syarat tes Covid-19 negatif atau pemeriksaan saat kedatangan bagi pelaku perjalan\xe2\x80\xa6',lebih lusin negara laku syarat tes negatif periksa datang laku,1
79,2023-01-02 23:37:07,"b'@moonahoshinova good morning moon~\ncepet sembuh ya sakitnya jgn lama""\xf0\x9f\xa5\xba\njaga kesehatan, banyakin minum air'",good morning sembuh sakit jgn sehat banyakin minum air,2
80,2023-01-02 23:37:07,b'GLUCELLA Rahasia Kecantikan &amp; Kesehatan Kulit PUTIH&amp;Bebas JERAWAT ORDR WA 081310748746 BBM:5F4B369C https://t.co/mzFNd1IKRQ',glucella rahasia cantik sehat kulit jerawat ordr wa,2
81,2023-01-02 23:36:50,"b'BEBAS JERAWAT TANPA OBAT # FRUTABLEND# Buang Jerawat,Mencerahkan kulit +Menjaga kesehatan jantung ORDER BBM 20EF63B7 SMS 085775567158 https://t.co/bbzXVNOxJl'",bebas jerawat obat buang kulit sehat jantung order bbm sms,2
82,2023-01-02 23:36:26,"b'RT @tanyarlfes: \xf0\x9f\x92\x9a Semoga sender yang upload menfess ini diberikan kesehatan yang berlimpah, dan tidak merasakan kesusahan akan \xe2\x80\x9cpenyakit\xe2\x80\x9d A\xe2\x80\xa6'",moga sender upload menfess beri sehat limpah rasa susah,2
83,2023-01-02 23:36:19,"b'@rimairim @pakzamroni_ Benar, prinsipnya kalau sudah ada lembaga lain yang menanggung, BPJS Kesehatan tidak menanggung lagi, biar tidak double claim.'",benar prinsip kalau lembaga tanggung bpjs sehat tanggung biar double claim,2
84,2023-01-02 23:35:22,"b'Bismillah back to work..\nLiburan telah usai\nSemoga dilancar dan di permudah segala urusan, diberi rizky yg berkah dan melimpah serta diberi keberkahanan, kesehatan dan keselamatan..\nAamiin ya rabbal alamiin..\nToday bigwin..bismillah\xf0\x9f\x98\x87\xf0\x9f\x98\x87\xf0\x9f\x98\x87'",bismillah back to lancar mudah segala urus beri rizky berkah limpah beri kahan sehat rabbal,1
85,2023-01-02 23:35:00,"b'0811-3753-55 (TERLARIS), Grosir Alat Kesehatan Terlengkap Cibugel#GrosirAlatKesehatanTerlengkapCibugel https://t.co/qe5FAB9jCq'",grosir alat sehat lengkap,0
86,2023-01-02 23:34:55,"b""nana you're the reason why i still alive, nana kamu penyemangat aku, nana kamu dunia aku, nana kamu rumah aku, nana kamu satu-satunya alasan aku buat bangkit lagi meskipun suka kefikiran buat nyerah :(( denger kamu mau hiatus rasanya aku sedih bgttt, tapi kesehatan km lbh penting https://t.co/1i7Wv0dRLp""",the reason why i still alive nana kamu semangat aku nana kamu dunia aku nana kamu rumah aku nana kamu alas aku buat bangkit meski suka kefikiran buat nyerah denger kamu mau hiatus rasa aku sedih bgtt sehat km lbh penting,2
87,2023-01-02 23:34:46,"b""Aku lebih takut sakit dari pada gk punya uang. Setidaknya kalau gk sakit nyari uang nya bisa lancar, tapi kalau sakit kan udah tuh habisin uang, waktu, dan mental. Do'a pertama ku selalu sama yaitu diberikan kesehatan dan rasa syukur setiap hari.""",lebih takut sakit punya uang kalau sakit nyari uang nya lancar kalau sakit udah tuh habisin uang waktu mental pertama ku selalu sama beri sehat rasa syukur hari,2
88,2023-01-02 23:34:46,"b'@luckyypersonaa semoga selalu diberi kesehatan, kebahagiaan, dan kekuatan ya kak\xf0\x9f\x92\x9c'",moga selalu beri sehat bahagia kuat,2
89,2023-01-02 23:34:21,"b""Allahumma sholli 'ala sayyidina Muhammad\nSemoga diberikan kesehatan, dilindungi dari segala marabahaya, dilancarkan segala urusan dan diberikan rezeki yang berlimpah dan berkah    aamiin \xf0\x9f\xa4\xb2""",sholli ala sayyidina beri sehat lindung segala marabahaya lancar segala urus beri rezeki limpah berkah aamiin,1
90,2023-01-02 23:33:45,"b'Kami memiliki beragam testimonial yang nyata dan bukan rekayasa, mereka yang mengalami keluhan kesehatan #saling #socialmedia #srudukfollow'",milik agam testimonial nyata bukan rekayasa alami keluh sehat,2
91,2023-01-02 23:33:21,b'Jual Alat Kesehatan  Legok Kaler #AlatKesehatan  #perbaikanalatkesehatan #furniturkesehatan',jual alat sehat legok kaler,2
92,2023-01-02 23:33:18,b'@nyanyiansajak Alhamdulillah..saya baik\nwalau rindu kadang sampai terbawa mimpi \xf0\x9f\xa4\xad\n\nYang penting jaga kesehatan ya dik..\xf0\x9f\x99\x8f',rindu kadang bawa mimpi penting jaga sehat,2
93,2023-01-02 23:32:38,b'Mohonlah pada Allah kesehatan. Sesungguhnya karunia yang lebih baik sesudah keimanan adalah kesehatan. [HR Ibnu Majah]   Sekulerisme Merusak  .\xf0\x9f\x8f\xb4\xe2\x98\x9d\xef\xb8\x8f\xf0\x9f\x8f\xb3\xef\xb8\x8f. #DmjNT',mohon allah sehat sungguh karunia lebih baik iman sehat ibnu sekuler rusak,2
