,datetime,text,cleanTweet,emotion
22,2023-01-02 22:36:02,"b'@reyward002 @AREAJULID biaya idup indo emg g segeda negara lain but for me most of our people cant even afford many things- n all of them is pricy, so whats the difference ?? negara lain boleh umr sama kebutuhan tinggi tapi pendidikan, fasilitas, jasa dan barang sesuai dengan harga yang diminta, cmiiw'",biaya idup indo emg g segeda negara but for me most of our people cant even afford many n all of them is pricy whats the difference negara umr sama butuh tinggi didik fasilitas jasa barang sesuai harga minta cmiiw,2
23,2023-01-02 22:35:25,"b'@tanyakanrl Kalo pendidikan better Bandung, kalo wisata ya Jogja'",kalo didik better bandung kalo wisata jogja,2
24,2023-01-02 22:35:00,b'@worksfess Pendidikan emang suram.....Bank dan lainnya masih nerima tiap tahun\nSemangat ya \xf0\x9f\x91\x8a',didik emang lain nerima tiap,2
25,2023-01-02 22:33:53,"b'@sioverthibking @Fikfinicky990 @GeenGeluk @worksfess @ororocimarugtw Harus ikutan pendidikan profesi guru, yg mana sistemnya ini dipanggil. Jd selama belum terpanggil tidak dapat'",ikut didik profesi guru mana sistem panggil jd lama panggil,1
26,2023-01-02 22:33:30,"b'@yulia_antasari @txtqoutesalam Kalo nyerah karena ekonomi dan pendidikan salah gk sih? Takut aja ntar kedepannya gk bisa d andalkan guanya,.\n\nEhh, bahas apa sihh? Orang atau benda nihh?'",kalo nyerah ekonomi didik salah sih takut aja ntar depan d andal bahas apa sihh orang benda nihh,1
27,2023-01-02 22:28:30,"b'RT @medecinhafez: Selamat Pagi kepada semua pengundi PAS, itulah kalian..\nTak nak dengar pesanan YB DAP Kota Melaka dan ayah kpd timbalan m\xe2\x80\xa6'",selamat pagi semua undi pas nak dengar pesan yb dap kota melaka ayah kpd timbal,2
28,2023-01-02 22:28:21,"b'@undipmenfess Lihat semua --&gt; Pendidikan --&gt; biaya pendidikan --&gt; (Perguruan tinggi, undip, spp, NIM) --&gt; cek tagihan\nJangan lupa pake promo cashbacknyaa'",lihat semua didik biaya didik tinggi undip spp cek lupa pake promo cashbacknyaa,2
29,2023-01-02 22:28:05,b'Pendidikan bukan persiapan unt uk hidup TourismUGM2013',didik bukan siap unt uk hidup tourismugm2013,1
30,2023-01-02 22:27:29,b'@UNYmfs Terlepas dari huru haranya kalau buat anak pendidikan worth it bangeettt soalnya teman teman saya yg ikut KM udah pada sidang \xf0\x9f\x99\x82\xf0\x9f\x99\x82',lepas huru hara kalau buat anak didik worth it bangeett soal teman teman ikut km udah sidang,2
31,2023-01-02 22:25:07,"b'@BudianaPangestu @fullmoonfolks Ga bakal jatuh, bang \xf0\x9f\xa4\xa3 selama masih banyak orang miskin yang sampe ga dapet pendidikan layak.'",ga bakal jatuh bang lama banyak orang miskin sampe ga dapet didik layak,2
32,2023-01-02 22:24:59,"b'RT @ainunnajib: @AlphaARachman kalau betul ini IQ, yang biasanya bawaan, mustinya ga ada hubungannya dengan pendidikan tapi lebih ke gizi d\xe2\x80\xa6'",kalau betul iq biasa bawa mustinya ga hubung didik lebih gizi,2
33,2023-01-02 22:24:45,b'Pendaftaran PSPP Angkatan Juli 2019 - Pendidikan Pramugari - https://t.co/xVGUOIHOps #PSPPyogyakarta',daftar pspp angkat juli didik pramugari,2
34,2023-01-02 22:18:11,"b'RT @JPenerangan: Menteri Pendidikan, YB Fadhlina Sidek berkata, langkah itu bertujuan memastikan hak setiap anak bangsa memperoleh kesaksam\xe2\x80\xa6'",menteri didik yb fadhlina sidek kata langkah tuju pasti hak anak bangsa oleh,2
35,2023-01-02 22:16:45,b'\xe2\x80\x9cAku mau kuliah Fikom atau HI..\xe2\x80\x9d ya bole silakan mau Pendidikan Bahasa Sunda atau Sastra Rusia juga mama dukung-dukung ajaaaa \xf0\x9f\xab\xb0\xf0\x9f\x8f\xbb',mau kuliah fikom bole sila mau didik bahasa sunda sastra rusia mama ajaa,2
36,2023-01-02 22:16:44,b'dari dulu pengen buat project sosial yang concern dalam hal \xe2\x80\x9cpendidikan &amp; lingkungan\xe2\x80\x9d. tapi sampe saat ini belum teralisasikan. \n\nsemoga 2023 bisa ya hhehe\nyuk yanh mau collaborasi dm \xf0\x9f\x98\x82',dulu ken buat project sosial concern sampe teralisasikan yanh mau collaborasi dm,2
37,2023-01-02 22:16:30,"b'@arigatoubaby @collegemenfess Mjb kak, kalo kamu dari prodi pendidikan dan smt 4 ke atas, aku saranin ikut KM. Tapi kalo masih smt awal ikut PMM juga bagus buat nambah pengalaman sama relasi. Semua ada +- nya, tergantung minat kakak pen join apa'",mjb kak kalo kamu prodi didik smt atas aku saranin ikut km kalo smt awal ikut pmm bagus buat nambah alam sama relasi semua nya gantung minat kakak pen join apa,2
38,2023-01-02 22:15:44,"b'""Tidak ada pemberian seorang ayah untuk anaknya yang lebih utama dari pada (pendidikan) tata krama yang baik."" (HR. At-Tirmidzi)'",beri orang ayah anak lebih utama tata krama baik,2
39,2023-01-02 22:15:44,b'Berikut ini blogger gunungkidul berikan beberapa kumpulan kata-kata mutiara tentang dunia pendidikan yang semoga dapat menambah minat belajar bagi kalian yang masih harus menyelesaikan pendidikan disekolah.',ikut blogger gunungkidul ikan beberapa kumpul mutiara dunia didik moga tambah minat ajar kalian selesai didik seko,2
40,2023-01-02 22:13:53,"b'RT @AlphaARachman: Rata2 IQ org Indonesia 78,49, no 10 dari 11 negara ASEAN. Di atas kita Laos 80,99 &amp; di bawah kita Timor Leste 78,49. Sin\xe2\x80\xa6'",rata2 iq org indonesia no negara asean atas laos bawah timor leste,2
41,2023-01-02 22:12:19,"b'RT @weishenvess: weishenv! lagi nangis mikirin masalah pendidikan sender, ovt karna udh kelas 12 takut gaada univ yg nerima sender, ngeliat\xe2\x80\xa6'",nang mikirin masalah didik sender ovt karna udh kelas takut gaada univ nerima sender,2
42,2023-01-02 22:12:01,"b""@collegemenfess Mau kamu tulis dimana dulu dan pakai standard negara mana? Karena hampir semuanya benar, soalnya tiap negara ada sistem pendidikan tinggi dan standard penulisannya sendiri, tapi umunnya kamu bisa penulisan ini:\n\nBachelor's degree in Psychology.""",b mau kamu tulis dulu pakai standard negara mana hampir semua benar soal tiap negara sistem didik tinggi standard tulis sendiri umun kamu tulis degree in psychology,2
43,2023-01-02 22:11:53,b'@willemsenpraj @FWBESS Pendidikan',didik,1
44,2023-01-02 22:09:57,"b'""Pendidikan adalah tiket ke masa depan. Hari esok dimiliki oleh orang-orang yang mempersiapkan dirinya sejak hari ini"" - Malcolm X'",didik tiket masa depan hari esok milik siap diri sejak hari malcolm x,2
45,2023-01-02 22:09:03,"b""RT @alpenojalapeno: @collegemenfess kemarin sempet baca sekelumit kalimat sederhana tp maknanya ngena 'kualitas pendidikan dan moral anakmu\xe2\x80\xa6""",kemarin sempet baca kelumit kalimat sederhana tp makna ngena kualitas didik moral,2
46,2023-01-02 22:08:58,"b'Hasil dari kurikulum pendidikan yang terlalu sering berorientasi ultra-nasionalism, bukan berorientasi pada keragaman dan kemanusiaan. https://t.co/lc6dhNvZ6J'",hasil kurikulum didik terlalu sering orientasi bukan orientasi ragam manusia,2
47,2023-01-02 22:07:25,"b'Pendidikan bukanlah persiapan untuk hidup sebab pendidikan yang sesungguhnya adalah kehidupan itu sendiri.""'",didik bukan siap hidup didik sungguh hidup sendiri,1
48,2023-01-02 22:07:10,b'Pendidikan yang baik tidak menjamin pembentukan watak yang baik. (Fonttenelle)',didik baik jamin bentuk watak baik,2
49,2023-01-02 22:06:37,"b'@istighfar0y Pernah ambil kelas online di scholars si. Yg 1 bulan di regular. Kelasnya intensif, oke banget lah. Tutornya juga mudah menjelaskan dan sejalur pendidikan. Harga worth it bgt. More info dm aja^^'",pernah ambil kelas online scholars si bulan regular kelas intensif oke banget lah tutor mudah jelas jalur didik harga worth it bgt more info dm,2
50,2023-01-02 22:05:43,"b'RT @beritartm: INFOGRAFIK\n\n""Pendidikan mempunyai akar yang pahit tapi buahnya manis"" - Aristotle\n\n\'Yang sahih di Berita RTM\'\n#RTM #BeritaRT\xe2\x80\xa6'",punya akar pahit buah manis sahih berita,2
51,2023-01-02 22:04:30,"b'aku udah open yaaa yg mau joki tugas SD-SMA, pendidikan, biologi, PAI, b arab, sejarah dll bisa langsung chat aja \xf0\x9f\x92\x97 dijamin no copas dan dikerjakan sepenuh hati:)\n\n#jokitugas #zonauang\xef\xb8\x8f'",aku udah open yaa mau joki tugas didik biologi pai b arab sejarah langsung chat aja jamin no copas kerja sepenuh,2
52,2023-01-02 22:03:34,"b'@chalarchieve Pernah ny\xc3\xb2ba \xc3\xb2nline di scholars si, worth it banget. Tutornya dah pengalaman bahkan sejalur pendidikan. Bahkan bisa dapat sesi sharing beasiswa juga. More info dm aja ka^^'",pernah scholars si worth it banget tutor dah alam bahkan jalur didik bahkan sesi sharing beasiswa more info dm aja,2
53,2023-01-02 22:03:07,"b'Sobat BUMN, PT INKA (Persero) mendapatkan 2 penghargaan dari Direktorat Jenderal Pendidikan Tinggi, Riset dan Teknologi (Ditjen Diktiristek) yakni sebagai mitra dengan inovasi bidang kendaraan listrik terbaik\n\n#PenghargaanINKA https://t.co/zBIFMKXdYJ'",sobat bumn inka dapat harga direktorat jenderal didik tinggi riset teknologi mitra inovasi bidang kendara listrik,2
54,2023-01-02 22:01:51,"b'MENGENAL LEBIH JAUH SISTEM PENDIDIKAN DI JERMAN, KLIK https://t.co/9wzHcfom3w  https://t.co/GVP75yICGZ'",kenal lebih jauh sistem didik jerman klik,2
55,2023-01-02 22:01:02,b'Pendidikan membutuhkan uang. Begitu juga dengan kebodohan. ~Claus Moser~',didik butuh uang bodoh,2
56,2023-01-02 22:00:53,"b'""Tidak ada pemberian orangtua yang paling berharga kepada anaknya daripada pendidikan akhlak mulia."" (HR. Bukhari)'",beri orangtua paling harga anak didik akhlak mulia,2
57,2023-01-02 22:00:15,b'RT @RMalanjum: Rasulullah sendiri mengharamkan judi.\n\nAdakah Rasulullah ekstremis wahai DAP?\n\nRasulullah haramkan judi DAN berikan pendidik\xe2\x80\xa6',rasulullah sendiri haram rasulullah ekstremis wahai haram judi ikan,2
58,2023-01-02 21:55:34,b'RT @IbrahimAzzaini: Sampai pesantren harus berangkat lagi kemedan.\nAda banyak hal yang harus kami diskusikan terkait kebutuhan dai dipedala\xe2\x80\xa6',pesantren berangkat banyak diskusi kait butuh dai,2
59,2023-01-02 21:55:24,b'Kadang sedih kerja di perantauan cuma bs nyisihin sedikit buat orgtua walau mereka gapernah minta sepeserpun. Padahal pas dulu kuliah orgtua bela2in banget ngasi yg cukup buat bea hidup &amp; pendidikan anaknya. Pengen bgt rasanya biayain haji/umroh orgtua mumpung mereka masih sehat.',kadang sedih kerja rantau cuma bs nyisihin sedikit buat orgtua gapernah minta peser padahal pas dulu kuliah orgtua bela2in banget ngasi cukup buat bea hidup didik anak ken bgt rasa biayain orgtua mumpung sehat,2
60,2023-01-02 21:54:23,"b'@fajarvantano1 @tifsembiring Menteri pendidikan nya saja membuat saya yang guru bersertifikat pendidik, hilang sertifikasi nya.\njadi honorer malah sejahtera karena bisa sertifikasi daripada jadi ASN yg salah jurusan akibat aturan perintah ""reset"" hilang sertifikasi, tampil pun tidak dapat'",menteri didik nya buat guru sertifikat didik hilang sertifikasi honorer malah sejahtera sertifikasi jadi asn salah jurus akibat atur perintah reset hilang sertifikasi tampil,2
61,2023-01-02 21:50:32,"b'@mojokdotco Status BLU dan BH di di dunia pendidikan itu yg jd biang keroknya, semua kampus BLU/BH berlomba2 memeras mahasiswanya atas nama pembangunan'",status blu bh dunia didik jd biang kerok semua kampus berlomba2 peras mahasiswa atas nama bangun,2
62,2023-01-02 21:47:40,b'RT @fressiastar: jaeyong AU\narranged marriage! AU\n\n\xf0\x9d\x90\x8c\xf0\x9d\x90\x9e\xf0\x9d\x90\xab\xf0\x9d\x90\xa0\xf0\x9d\x90\x9e\xf0\x9d\x90\xab &amp; \xf0\x9d\x90\x82\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\xac\xf0\x9d\x90\xa8\xf0\x9d\x90\xa5\xf0\x9d\x90\xa2\xf0\x9d\x90\x9d\xf0\x9d\x90\x9a\xf0\x9d\x90\xad\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\n\nAruna kira semester limanya akan berjalan normal. Aditya kira ta\xe2\x80\xa6',jaeyong kira semester lima jalan normal aditya kira,2
63,2023-01-02 21:46:26,"b'Perbedaan arti ""mengubah"" dan ""merubah"" nampaknya perlu diajarkan di semua jenjang pendidikan agar masyarakat tercerahkan.'",beda arti ubah rubah nampaknya perlu ajar semua jenjang didik masyarakat cerah,2
64,2023-01-02 21:43:59,b'Riwayat Pendidikan\n-Pendidikan Formal:\nhttps://t.co/tyWLkBWOrV BDN Jakarta Barat\nb.Madrasah Tsanawiyah Al-Zaytun\nc.Madrasah Aliyah Al-Zaytun\nd.UIN Syarif Hidayatullah Jakarta',riwayat bdn jakarta tsanawiyah aliyah syarif hidayatullah jakarta,2
65,2023-01-02 21:41:01,b'Selamat pagi #KomunitasBogor Peduli Pendidikan berkawanID PMKB_ FFIBogor',selamat pagi peduli didik berkawanid ffibogor,2
66,2023-01-02 21:37:24,"b'Pendidikan mengembangkan kemampuan, tetapi tidak menciptakannya. (Voltaire)'",didik kembang mampu cipta,2
67,2023-01-02 21:36:02,b'Selamat pagi #KomunitasBogor Peduli Pendidikan YMYMbgr AkberBogor SahabatTHC Sebersy SanggarJuara Imago_09',selamat pagi peduli didik ymymbgr akberbogor sahabatthc sebersy sanggarjuara,1
68,2023-01-02 21:33:34,"b'@CNNIndonesia Ah soal gitu aja sampe drama, focus buat perkembangan teknologi kek, tingkatkan level pendidikan, hal2 berguna Yg kayak gitu lah di junjung. Dunia udah semakin maju, tapi banyak org2 goblok di Indonesia Yg Mau  negara ini jadi kayak Afghanistan.'",ah soal gitu aja sampe drama focus buat kembang teknologi kek tingkat level didik hal2 guna kayak gitu lah junjung dunia udah makin maju banyak org2 goblok indonesia mau negara jadi kayak afghanistan,2
69,2023-01-02 21:31:02,b'Selamat pagi #KomunitasBogor Peduli Pendidikan AmpiPeduli RumahMerahPutih terminalhujan Puzzle_Summit',selamat pagi peduli didik ampipeduli rumahmerahputih terminalhujan,2
70,2023-01-02 21:28:21,b'Pendidikan bukan persiapan untuk hidup KamiProduk',didik bukan siap hidup kamiproduk,0
71,2023-01-02 21:27:43,b'Pendidikan bukan persiapan unt uk hidup DapoerBunda18',didik bukan siap unt uk hidup dapoerbunda18,1
72,2023-01-02 21:16:15,"b'@worksfess Semangat der.. memang kalo bekerja dlm dunia pendidikan ga boleh money oriented (kecuali PNS guru DKI) Saya dosen gol IIIC dan tunjangannya serta honornya emang yaaahhh begitulah.. Alhamdulilah bs beli rmh dan mobil,dpt uang dr suami,mertua and ortu ehehhehehehe'",semangat der memang kalo kerja dlm dunia didik ga money oriented pns guru dosen gol iic tunjang honor emang yaahh begitu alhamdulilah bs beli rmh uang and ortu ehehhehehehe,2
73,2023-01-02 21:10:48,"b'Zodiak : Taurus Pendidikan : SMP : Middle School Eonju, SMA : Girls High School Dongdug Agensi : LEON Entertainment'",zodiak taurus didik smp middle school eonju sma girls high school dongdug agens leon entertainment,2
74,2023-01-02 21:09:43,"b'ini fungsi pendidikan pada anak usia dini, biar gak salah server \xf0\x9f\xa4\xa3 https://t.co/fpsK3cPZ2a'",fungsi didik anak usia dini biar salah server,2
75,2023-01-02 21:07:57,"b'Ketika marah, maka setelah marah saya pasti ada penyesalan, ""kok bisa saya begitu"". Atau lakukan itu. Jadi saya agak males kalau mau marah-marah. \n\nAda kata inspirasi, yang di katakan oleh Ki Hajar Dewantara (bapak pendidikan Indonesia) ""Memanusiakan manusia"".\n\n#masFarhanSunsani https://t.co/k3KqlAzM9S'",marah marah sesal kok laku jadi males kalau mau kata inspirasi kata ki hajar dewantara didik manusia,2
76,2023-01-02 21:07:04,"b'Pendidikan mempunyai akar yang pahit, tapi buahnya manis. (Aristoteles)'",didik punya akar pahit buah manis,1
77,2023-01-02 21:01:19,"b'PENDIDIKAN : untuk mengantisipasi ""kebocoran"" soal UAN depdiknas menempelkan charm body fit disemua lembar soal'",didik antisipasi bocor soal uan depdiknas tempel charm body fit semua lembar soal,2
78,2023-01-02 20:58:22,b'Pendidikan adalah hidup it u sendiri ( John Dewey) NoteDokter',didik hidup it u sendiri john notedokter,2
79,2023-01-02 20:57:01,"b'RT @blank0429: Baznas ingin Indonesia Tiru Malaysia Terapkan Kewajiban Berzakat\n-\nSetuju pak! Tapi sebelumnya TOLONG Tiru BBM, Listrik, Sem\xe2\x80\xa6'",baznas indonesia tiru malaysia terap wajib belum tiru bbm listrik,2
80,2023-01-02 20:46:15,"b'kalo diliat2 kehidupan dinda balance bgt antara pendidikan sama fangirling nya, jadi iri'",kalo diliat2 hidup dinda balance bgt didik sama fangirling nya jadi iri,1
81,2023-01-02 20:45:40,"b'Nah, dua buah kalimat motivasi pendidikan di atas semoga dapat memberikan penyegar dan penyemangat bagi kalian yang sedang bersekolah. Mari kita cerdaskan bangsa Indonesia dengan membudayakan gaya hidup yang berilmu dan berakhlak tinggi.'",nah buah kalimat motivasi didik atas moga beri segar semangat kalian sedang sekolah cerdas bangsa indonesia budaya gaya hidup beril akhlak tinggi,2
82,2023-01-02 20:45:32,"b'RT @bojonebojoku: Ini anggota DPR RI yang marah-marah karena kesempatan ""merampok"" anggaran pendidikan ga kesampaian. Kualitas Nadiem jauh\xe2\x80\xa6'",anggota dpr ri sempat rampok anggar didik ga sampai kualitas nadiem,2
83,2023-01-02 20:41:34,b'Hasil akhir dari pendidikan adalah sebuah toleransi.',hasil akhir didik buah toleransi,1
84,2023-01-02 20:40:01,"b'""Pendidikan adalah senjata paling mematikan, karena dengan itu Anda dapat mengubah dunia"" - Nelson Mandela'",didik senjata paling mati ubah dunia nelson mandela,2
85,2023-01-02 20:36:53,b'Pendidikan adalah apa yang tersisa setelah melupakan semua yang dipelajari di sekolah.https://t.co/Lg74WgsgLG ##herbalpangkalsehat #acemaxs',didik apa sisa lupa semua ajar sekolah,1
86,2023-01-02 20:36:45,"b'Didiklah anakmu, karena engkau akan dimintai tanggungjawab mengenai pendidikan dan pengajaran yg engkau berikan kepadanya. Dan dia juga akan ditanya mengenai kebaikan dirimu kepadanya serta ketaatannya kepada dirimu. \n\n(Abdullah bin Umar ra)'",didik anak engkau minta tanggungjawab kena didik ajar engkau ikan kepada tanya kena baik diri kepada taat diri bin umar,2
87,2023-01-02 20:29:57,b'Fashion pendidikan: https://t.co/nIQJwknEGA https://t.co/f7uoI79kZB',fashion,0
88,2023-01-02 20:28:21,b'Tujuan pendidikan adalah m em persiapkan generasi m uda Unt uk m endidik dir i m ereka sendiri seum ur hidup mereka. marikitasehat',tuju didik m em siap generasi m uda unt uk m endidik dir i m ereka sendiri seum ur hidup marikitasehat,2
89,2023-01-02 20:28:00,"b'Gk bisa tidur, ya udah, baca buku, eh ada yg tertulis seperti ini: \xe2\x80\x9cSekolah Gajah\xe2\x80\x9d Sepertinya pernah mendengar kata2 ini dg persepsi yg berbeda. \n\nTak sadar kemudian, ternyata sudah lama aku tak menyentuh soal kehidupan pendidikan. Seolah2 jiwa mengajarku muncul'",tidur udah baca buku eh tulis seperti pernah dengar kata2 persepsi beda sadar kemudian nyata lama aku sentuh soal hidup didik seolah2 jiwa ajar muncul,2
90,2023-01-02 20:27:05,"b'RT @Tita83079013: Andika Perkasa menempati posisi Kepala Kantor Staf Kepresidenan,  saat ini posisi  dipegang  Moeldoko.\n\nBudiman Sudjatmik\xe2\x80\xa6'",andika perkasa tempat posisi kepala kantor staf presiden posisi pegang,2
91,2023-01-02 20:23:23,"b'@enianeh @worksfess Aku S.Pd yang jadi trader saham. Temen kuliahku sampe bingung karena melenceng jauh, tapi ya emang sekarang ga ada yang bisa dipegang dari kerja di dunia pendidikan. Kebutuhan hidup lebih penting. Gak bisa mencerdaskan anak bangsa gapapa, mencerdaskan anak sendiri aja'",aku jadi trader saham temen kuliah sampe bingung lenceng jauh emang sekarang ga pegang kerja dunia didik butuh hidup lebih penting cerdas anak bangsa gapapa cerdas anak sendiri aja,2
92,2023-01-02 20:13:59,b'Riwayat Pendidikan\n-Pendidikan Formal:\nhttps://t.co/9VCoNeZt2K Thargatussa\xe2\x80\x99adah\nb.SDN Ciampea Udik\nc.MTs Nurul Ummah\nd.SMAN 1 Leuwiliang Bogor\ne.UIN Syarif Hidayatullah Jakarta',riwayat ciampea nurul leuwiliang syarif hidayatullah jakarta,2
93,2023-01-02 20:08:25,"b'@worksfess Apalagi aku lulusan keguruan dan kerja di sektor non pendidikan \xf0\x9f\x98\x81\n\nSemangat ya nder, rezeki ga ketuker. Perbanyak ilmu dan koneksi aja yaaa'",aku lulus guru kerja sektor non didik nder rezeki ga ketuker banyak ilmu koneksi aja yaa,2
94,2023-01-02 20:04:32,"b'Kini anda dpt mewujudkan semua yg pernah anda impikan: Pendidikan, Renovasi Rumah, Pernikahan, Investasi Usaha &amp; Kebutuhan Finansial lainnya'",kini dpt wujud semua pernah didik renovasi rumah nikah investasi usaha butuh finansial lain,2
95,2023-01-02 19:58:22,"b'Pendidikan bukanlah sesuat u yang diperoleh seseorang, Tapi pendidikan adalah sebuah proses seum ur hidup InfoKesehatan_'",didik bukan suat u oleh orang didik buah proses seum ur hidup,1
96,2023-01-02 19:51:14,"b'@alisyarief Cuma di Jawa ,masyarakat yg mau di tipu berkali kali, Krn faktor pendidikan rendah dan ekonomi rendah, dibayar 20 RB pun oke.'",cuma jawa masyarakat mau tipu kali kali faktor didik rendah ekonomi rendah bayar rb oke,2
97,2023-01-02 19:50:21,"b'Manusia butuh belajar, dan belajar butuh pengajar. Pengajar pun butuh ilmu pengetahuan. Itulah pendidikan.'",manusia butuh ajar ajar butuh ajar ajar butuh ilmu tahu didik,1
98,2023-01-02 19:50:16,"b'Pendidikan berasal dari dalam, Anda mendapatkannya melalui perjuangan, usaha, dan pikiran. Gagal / Sukses'",didik asal dapat lalu juang usaha pikir gagal sukses,2
